id,author,title,doi,year,abstract,url
1,Zhenhui Peng and,Exploring how software developers work with mention bot in GitHub,10.1007/s42486-019-00013-2,2019,"",https://doi.org/10.1007/s42486-019-00013-2
2,Cunyan Li and,Github\unicode20013\unicode24320\unicode21457\unicode20154\unicode21592\unicode30340\unicode34892\unicode20026\unicode29305\unicode24449\unicode20998\unicode26512,10.11896/j.issn.1002-137X.2019.02.024,2019,"",https://doi.org/10.11896/j.issn.1002-137X.2019.02.024
3,Chao Liu and,Recommending GitHub Projects for Developer Onboarding,10.1109/ACCESS.2018.2869207,2018,"",https://doi.org/10.1109/ACCESS.2018.2869207
4,Neil C. Borle and,Analyzing the effects of test driven development in GitHub,10.1007/s10664-017-9576-3,2018,"",https://doi.org/10.1007/s10664-017-9576-3
5,Yan Hu and,User influence analysis for Github developer social networks,10.1016/j.eswa.2018.05.002,2018,"",https://doi.org/10.1016/j.eswa.2018.05.002
6,Oskar Jarczyk and,Surgical teams on GitHub: Modeling performance of GitHub project development,10.1016/j.infsof.2018.03.010,2018,"",https://doi.org/10.1016/j.infsof.2018.03.010
7,Valerio Cosentino and,A Systematic Mapping Study of Software Development With GitHub,10.1109/ACCESS.2017.2682323,2017,"",https://doi.org/10.1109/ACCESS.2017.2682323
8,Yang Zhang and,Social media in GitHub: the role of @-mention in assisting software,10.1007/s11432-015-1024-6,2017,"",https://doi.org/10.1007/s11432-015-1024-6
9,Jing Jiang and,Why and how developers fork what from whom in GitHub,10.1007/s10664-016-9436-6,2017,"",https://doi.org/10.1007/s10664-016-9436-6
10,Yunxiang Xiong and,Developer Identity Linkage and Behavior Mining Across GitHub and StackOverflow,10.1142/S0218194017400034,2017,"",https://doi.org/10.1142/S0218194017400034
11,Ritu Arora and,Supporting collaborative software development over GitHub,10.1002/spe.2468,2017,"",https://doi.org/10.1002/spe.2468
12,Francisco Jurado and,Sentiment Analysis in monitoring software development processes: An,10.1016/j.jss.2015.02.055,2015,"",https://doi.org/10.1016/j.jss.2015.02.055
13,Andrew Begel and,Social Networking Meets Software Development: Perspectives from GitHub,10.1109/MS.2013.13,2013,"",https://doi.org/10.1109/MS.2013.13
